@RELATION meta-features

@ATTRIBUTE task_id NUMERIC
@ATTRIBUTE AutoCorrelation NUMERIC
@ATTRIBUTE CfsSubsetEval_DecisionStumpAUC NUMERIC
@ATTRIBUTE CfsSubsetEval_DecisionStumpErrRate NUMERIC
@ATTRIBUTE CfsSubsetEval_DecisionStumpKappa NUMERIC
@ATTRIBUTE CfsSubsetEval_NaiveBayesAUC NUMERIC
@ATTRIBUTE CfsSubsetEval_NaiveBayesErrRate NUMERIC
@ATTRIBUTE CfsSubsetEval_NaiveBayesKappa NUMERIC
@ATTRIBUTE CfsSubsetEval_kNN1NAUC NUMERIC
@ATTRIBUTE CfsSubsetEval_kNN1NErrRate NUMERIC
@ATTRIBUTE CfsSubsetEval_kNN1NKappa NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE DecisionStumpAUC NUMERIC
@ATTRIBUTE DecisionStumpErrRate NUMERIC
@ATTRIBUTE DecisionStumpKappa NUMERIC
@ATTRIBUTE Dimensionality NUMERIC
@ATTRIBUTE EquivalentNumberOfAtts NUMERIC
@ATTRIBUTE J48.00001.AUC NUMERIC
@ATTRIBUTE J48.00001.ErrRate NUMERIC
@ATTRIBUTE J48.00001.Kappa NUMERIC
@ATTRIBUTE J48.0001.AUC NUMERIC
@ATTRIBUTE J48.0001.ErrRate NUMERIC
@ATTRIBUTE J48.0001.Kappa NUMERIC
@ATTRIBUTE J48.001.AUC NUMERIC
@ATTRIBUTE J48.001.ErrRate NUMERIC
@ATTRIBUTE J48.001.Kappa NUMERIC
@ATTRIBUTE MajorityClassPercentage NUMERIC
@ATTRIBUTE MajorityClassSize NUMERIC
@ATTRIBUTE MaxAttributeEntropy NUMERIC
@ATTRIBUTE MaxKurtosisOfNumericAtts NUMERIC
@ATTRIBUTE MaxMeansOfNumericAtts NUMERIC
@ATTRIBUTE MaxMutualInformation NUMERIC
@ATTRIBUTE MaxNominalAttDistinctValues NUMERIC
@ATTRIBUTE MaxSkewnessOfNumericAtts NUMERIC
@ATTRIBUTE MaxStdDevOfNumericAtts NUMERIC
@ATTRIBUTE MeanAttributeEntropy NUMERIC
@ATTRIBUTE MeanKurtosisOfNumericAtts NUMERIC
@ATTRIBUTE MeanMeansOfNumericAtts NUMERIC
@ATTRIBUTE MeanMutualInformation NUMERIC
@ATTRIBUTE MeanNoiseToSignalRatio NUMERIC
@ATTRIBUTE MeanNominalAttDistinctValues NUMERIC
@ATTRIBUTE MeanSkewnessOfNumericAtts NUMERIC
@ATTRIBUTE MeanStdDevOfNumericAtts NUMERIC
@ATTRIBUTE MinAttributeEntropy NUMERIC
@ATTRIBUTE MinKurtosisOfNumericAtts NUMERIC
@ATTRIBUTE MinMeansOfNumericAtts NUMERIC
@ATTRIBUTE MinMutualInformation NUMERIC
@ATTRIBUTE MinNominalAttDistinctValues NUMERIC
@ATTRIBUTE MinSkewnessOfNumericAtts NUMERIC
@ATTRIBUTE MinStdDevOfNumericAtts NUMERIC
@ATTRIBUTE MinorityClassPercentage NUMERIC
@ATTRIBUTE MinorityClassSize NUMERIC
@ATTRIBUTE NaiveBayesAUC NUMERIC
@ATTRIBUTE NaiveBayesErrRate NUMERIC
@ATTRIBUTE NaiveBayesKappa NUMERIC
@ATTRIBUTE NumberOfBinaryFeatures NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfSymbolicFeatures NUMERIC
@ATTRIBUTE PercentageOfBinaryFeatures NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfNumericFeatures NUMERIC
@ATTRIBUTE PercentageOfSymbolicFeatures NUMERIC
@ATTRIBUTE Quartile1AttributeEntropy NUMERIC
@ATTRIBUTE Quartile1KurtosisOfNumericAtts NUMERIC
@ATTRIBUTE Quartile1MeansOfNumericAtts NUMERIC
@ATTRIBUTE Quartile1MutualInformation NUMERIC
@ATTRIBUTE Quartile1SkewnessOfNumericAtts NUMERIC
@ATTRIBUTE Quartile1StdDevOfNumericAtts NUMERIC
@ATTRIBUTE Quartile2AttributeEntropy NUMERIC
@ATTRIBUTE Quartile2KurtosisOfNumericAtts NUMERIC
@ATTRIBUTE Quartile2MeansOfNumericAtts NUMERIC
@ATTRIBUTE Quartile2MutualInformation NUMERIC
@ATTRIBUTE Quartile2SkewnessOfNumericAtts NUMERIC
@ATTRIBUTE Quartile2StdDevOfNumericAtts NUMERIC
@ATTRIBUTE Quartile3AttributeEntropy NUMERIC
@ATTRIBUTE Quartile3KurtosisOfNumericAtts NUMERIC
@ATTRIBUTE Quartile3MeansOfNumericAtts NUMERIC
@ATTRIBUTE Quartile3MutualInformation NUMERIC
@ATTRIBUTE Quartile3SkewnessOfNumericAtts NUMERIC
@ATTRIBUTE Quartile3StdDevOfNumericAtts NUMERIC
@ATTRIBUTE REPTreeDepth1AUC NUMERIC
@ATTRIBUTE REPTreeDepth1ErrRate NUMERIC
@ATTRIBUTE REPTreeDepth1Kappa NUMERIC
@ATTRIBUTE REPTreeDepth2AUC NUMERIC
@ATTRIBUTE REPTreeDepth2ErrRate NUMERIC
@ATTRIBUTE REPTreeDepth2Kappa NUMERIC
@ATTRIBUTE REPTreeDepth3AUC NUMERIC
@ATTRIBUTE REPTreeDepth3ErrRate NUMERIC
@ATTRIBUTE REPTreeDepth3Kappa NUMERIC
@ATTRIBUTE RandomTreeDepth1AUC NUMERIC
@ATTRIBUTE RandomTreeDepth1ErrRate NUMERIC
@ATTRIBUTE RandomTreeDepth1Kappa NUMERIC
@ATTRIBUTE RandomTreeDepth2AUC NUMERIC
@ATTRIBUTE RandomTreeDepth2ErrRate NUMERIC
@ATTRIBUTE RandomTreeDepth2Kappa NUMERIC
@ATTRIBUTE RandomTreeDepth3AUC NUMERIC
@ATTRIBUTE RandomTreeDepth3ErrRate NUMERIC
@ATTRIBUTE RandomTreeDepth3Kappa NUMERIC
@ATTRIBUTE StdvNominalAttDistinctValues NUMERIC
@ATTRIBUTE kNN1NAUC NUMERIC
@ATTRIBUTE kNN1NErrRate NUMERIC
@ATTRIBUTE kNN1NKappa NUMERIC

@DATA
3.0,0.9990610328638497,0.9619120657405762,0.05913642052565707,0.8811920214059075,0.9619120657405762,0.05913642052565707,0.8811920214059075,0.9619120657405762,0.05913642052565707,0.8811920214059075,0.9985755386554582,0.6714034536324981,0.33948685857321653,0.3396437687719142,0.011576971214017523,52.14040169716265,0.9960622907889662,0.007822277847309137,0.9843258097219999,0.9960622907889662,0.007822277847309137,0.9843258097219999,0.9960622907889662,0.007822277847309137,0.9843258097219999,52.221526908635795,1669.0,0.9956521852360185,-1.0,-1.0,0.19826687955488,3.0,-1.0,-1.0,0.5901482912442314,-1.0,-1.0,0.01915166562113,29.814462977732955,2.027027027027027,-1.0,-1.0,0.004094030352641959,-1.0,-1.0,1.18053e-09,2.0,-1.0,-1.0,47.778473091364205,1527.0,0.9520419938608541,0.12108886107634544,0.7569708778154078,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,94.5945945945946,0.0,0.0,0.0,100.0,0.28756000355035294,-1.0,-1.0,0.000777595577705,-1.0,-1.0,0.6794996247614244,-1.0,-1.0,0.00542648921343,-1.0,-1.0,0.9132329806576945,-1.0,-1.0,0.0184861208375775,-1.0,-1.0,0.997615519019934,0.01376720901126408,0.972417266903898,0.997615519019934,0.01376720901126408,0.972417266903898,0.997615519019934,0.01376720901126408,0.972417266903898,0.9451363376145694,0.05444305381727159,0.8908498653739637,0.9451363376145694,0.05444305381727159,0.8908498653739637,0.9451363376145694,0.05444305381727159,0.8908498653739637,0.1643989873053572,0.9728427352982838,0.06914893617021277,0.8609676573571107
6.0,0.04090204510225511,0.9425298055650914,0.15215,0.841756863867533,0.9425298055650914,0.15215,0.841756863867533,0.9425298055650914,0.15215,0.841756863867533,4.69981072657316,0.6574545268026781,0.9293,0.03276976655404448,0.00085,-1.0,0.9379676053125593,0.15865,0.8349979241615618,0.9379676053125593,0.15865,0.8349979241615618,0.9379676053125593,0.15865,0.8349979241615618,4.0649999999999995,813.0,-1.0,2.075245046157538,8.338849999999995,-1.0,26.0,1.1599750154235924,3.304555303560269,-1.0,0.6977379005298701,5.925465624999998,-1.0,-1.0,26.0,0.29029703410184804,2.273771145446362,-1.0,-0.4211788221168451,3.046099999999995,-1.0,26.0,-0.31007906987268463,1.5467224363199539,3.6700000000000004,734.0,0.9559207236903551,0.36025,0.6253250509940796,0.0,26.0,17.0,20000.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647,-1.0,0.3091324958538607,4.174812499999999,-1.0,-0.13733042812365298,2.017438812826727,-1.0,0.8853044390128566,5.913225000000001,-1.0,0.2543345879398813,2.2933721022270195,-1.0,1.1728389823381402,7.7260124999999995,-1.0,0.653378002627639,2.5474231354919117,0.9544303249787935,0.20315,0.7887152321892192,0.9544303249787935,0.20315,0.7887152321892192,0.9544303249787935,0.20315,0.7887152321892192,0.9080139521161272,0.1769,0.816017080292,0.9080139521161272,0.1769,0.816017080292,0.9080139521161272,0.1769,0.816017080292,0.0,0.9731018928391187,0.05785,0.939833878217649
11.0,0.6971153846153846,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,1.318116246441582,0.6469194362017804,0.376,0.3026706231454006,0.008,-1.0,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,46.08,288.0,-1.0,-1.300798439249971,3.0,-1.0,3.0,0.0,1.4153462926807447,-1.0,-1.3007984392499752,3.0,-1.0,-1.0,3.0,0.0,1.4153462926807447,-1.0,-1.3007984392499798,3.0,-1.0,3.0,0.0,1.4153462926807447,7.84,49.0,0.9630951121002308,0.104,0.8071216617210683,0.0,3.0,5.0,625.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,80.0,20.0,-1.0,-1.3007984392499787,3.0,-1.0,0.0,1.4153462926807447,-1.0,-1.300798439249975,3.0,-1.0,0.0,1.4153462926807447,-1.0,-1.3007984392499718,3.0,-1.0,0.0,1.4153462926807447,0.8525668273986152,0.2144,0.602373887240356,0.8525668273986152,0.2144,0.602373887240356,0.8525668273986152,0.2144,0.602373887240356,0.834430637982196,0.2144,0.6257317781650802,0.834430637982196,0.2144,0.6257317781650802,0.834430637982196,0.2144,0.6257317781650802,0.0,0.9232008696010551,0.1648,0.7027931671283473
12.0,0.9954977488744372,0.9360315277777779,0.1335,0.8516666666666667,0.9360315277777779,0.1335,0.8516666666666667,0.9360315277777779,0.1335,0.8516666666666667,3.321928094887362,0.7207469444444443,0.8065,0.10388888888888889,0.1085,-1.0,0.9277102777777778,0.1375,0.8472222222222223,0.9277102777777778,0.1375,0.8472222222222223,0.9277102777777778,0.1375,0.8472222222222223,10.0,200.0,-1.0,1.7012862999932459,1141.5704999999996,-1.0,10.0,0.8630705307139119,153.51158138902838,-1.0,-0.315188200704828,318.2703888888889,-1.0,-1.0,10.0,0.027560516903782382,49.58131318395632,-1.0,-1.3893209589478623,6.7674999999999965,-1.0,10.0,-1.0738237890694697,1.9854850353031415,10.0,200.0,0.9919074999999999,0.0765,0.915,0.0,10.0,217.0,2000.0,0.0,0.0,216.0,1.0,0.0,0.0,0.0,99.53917050691244,0.4608294930875576,-1.0,-0.6970467475463484,14.118125000000006,-1.0,-0.2190263674003187,5.542689317909613,-1.0,-0.40269116562873153,146.4797499999999,-1.0,-0.014119361298266794,30.290065676946117,-1.0,0.01138630535997398,684.5027499999998,-1.0,0.36651259782511425,91.59687126428517,0.9486284722222221,0.1575,0.8250000000000001,0.9486284722222221,0.1575,0.8250000000000001,0.9486284722222221,0.1575,0.8250000000000001,0.8927777777777776,0.193,0.7855555555555556,0.8927777777777776,0.193,0.7855555555555556,0.8927777777777776,0.193,0.7855555555555556,0.0,0.9753261111111112,0.044,0.951111111111111
14.0,0.9954977488744372,0.8794304166666665,0.254,0.7177777777777777,0.8794304166666665,0.254,0.7177777777777777,0.8794304166666665,0.254,0.7177777777777777,3.321928094887362,0.72435,0.8045,0.10611111111111111,0.0385,-1.0,0.8594219444444444,0.282,0.6866666666666666,0.8594219444444444,0.282,0.6866666666666666,0.8594219444444444,0.282,0.6866666666666666,10.0,200.0,-1.0,1.994922620258805,0.37731057175,-1.0,10.0,1.029985534649324,0.17623067063193093,-1.0,0.11900628082326806,0.13203208401769737,-1.0,-1.0,10.0,0.5447006835842777,0.0671079516668835,-1.0,-1.1252793103314485,0.07169202572,-1.0,10.0,-0.12062462029872044,0.037555498917336186,10.0,200.0,0.9626375,0.2465,0.726111111111111,0.0,10.0,77.0,2000.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,98.7012987012987,1.2987012987012987,-1.0,-0.17890148800194938,0.0863261346625,-1.0,0.4089907636277701,0.04270430540290948,-1.0,0.06302301358113738,0.1064998764125,-1.0,0.5542281675523084,0.052759297535721755,-1.0,0.4381040236923678,0.15576810663375001,-1.0,0.7107847694791952,0.08633520114293441,0.9261233333333333,0.2845,0.6838888888888889,0.9261233333333333,0.2845,0.6838888888888889,0.9261233333333333,0.2845,0.6838888888888889,0.7913888888888889,0.3755,0.5827777777777778,0.7913888888888889,0.3755,0.5827777777777778,0.7913888888888889,0.3755,0.5827777777777778,0.0,0.8825091666666666,0.2115,0.765
15.0,0.6318051575931232,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9293179372497983,0.9249080432694923,0.08869814020028613,0.8107527445175151,0.01430615164520744,-1.0,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,65.52217453505007,458.0,-1.0,12.6578780670256,4.417739628040058,-1.0,2.0,3.560657844495268,3.643857160492903,-1.0,1.6841150960407236,3.1357041002822355,-1.0,-1.0,2.0,1.477488666731089,2.7510805456186183,-1.0,-0.7988441354436415,1.589413447782546,-1.0,2.0,0.5928585326862892,1.7150779425067932,34.47782546494993,241.0,0.9883078465880973,0.04005722460658083,0.9125445722405428,1.0,2.0,10.0,699.0,16.0,16.0,9.0,1.0,10.0,2.28898426323319,0.22889842632331905,90.0,10.0,-1.0,-0.3083522161398966,2.836909871244634,-1.0,1.0449923682055797,2.3263320694866376,-1.0,0.18462131150511896,3.2074391988555093,-1.0,1.233136557961704,2.85537923921701,-1.0,1.57850674634774,3.49121208503258,-1.0,1.618319946298536,3.0525465017834734,0.952780445378608,0.055793991416309016,0.8756551129599474,0.952780445378608,0.055793991416309016,0.8756551129599474,0.952780445378608,0.055793991416309016,0.8756551129599474,0.9516904855835366,0.044349070100143065,0.9017452695441621,0.9516904855835366,0.044349070100143065,0.9017452695441621,0.9516904855835366,0.044349070100143065,0.9017452695441621,0.0,0.9752215115330954,0.04291845493562232,0.9044446672195541
16.0,0.9954977488744372,0.8933529166666667,0.2105,0.7661111111111111,0.8933529166666667,0.2105,0.7661111111111111,0.8933529166666667,0.2105,0.7661111111111111,3.321928094887362,0.6936666666666667,0.8045,0.10611111111111111,0.0325,-1.0,0.8896487500000001,0.21,0.7666666666666667,0.8896487500000001,0.21,0.7666666666666667,0.8896487500000001,0.21,0.7666666666666667,10.0,200.0,-1.0,0.580942601366925,2.891171124290001,-1.0,10.0,0.4187220480956684,7.691305182325387,-1.0,-0.045654845752496065,0.053084739246640686,-1.0,-1.0,10.0,-0.004285662607736754,2.152662828702679,-1.0,-0.944709265915264,-1.8197072740500002,-1.0,10.0,-0.3391130927319128,0.8923441138647591,10.0,200.0,0.9956313888888889,0.068,0.9244444444444445,0.0,10.0,65.0,2000.0,0.0,0.0,64.0,1.0,0.0,0.0,0.0,98.46153846153847,1.5384615384615385,-1.0,-0.14952953711034322,-0.29841679518749986,-1.0,-0.10420201025097077,1.1438482801014436,-1.0,-0.017345885787890536,0.004483087817499813,-1.0,-0.020815908469464905,1.6476505065816718,-1.0,0.07165494057478039,0.33246113886500006,-1.0,0.0591765364965291,2.6614803695239697,0.9227765277777779,0.2055,0.7716666666666666,0.9227765277777779,0.2055,0.7716666666666666,0.9227765277777779,0.2055,0.7716666666666666,0.83,0.306,0.6599999999999999,0.83,0.306,0.6599999999999999,0.83,0.306,0.6599999999999999,0.0,0.972274861111111,0.05,0.9444444444444444
18.0,0.9954977488744372,0.9114204166666667,0.295,0.6722222222222222,0.9114204166666667,0.295,0.6722222222222222,0.9114204166666667,0.295,0.6722222222222222,3.321928094887362,0.7612499999999999,0.8015,0.10944444444444444,0.0035,-1.0,0.9114204166666667,0.295,0.6722222222222222,0.9114204166666667,0.295,0.6722222222222222,0.9114204166666667,0.295,0.6722222222222222,10.0,200.0,-1.0,0.0794938700561878,6155.200435156556,-1.0,10.0,1.0084830014756712,3757.634467006599,-1.0,-0.536236922624337,1052.6997316402776,-1.0,-1.0,10.0,0.5315671843447396,630.90708251402,-1.0,-1.0383559313284294,0.49249999999999505,-1.0,10.0,-0.06283666261436584,0.2913157171953473,10.0,200.0,0.9512127777777779,0.2995,0.6672222222222223,0.0,10.0,7.0,2000.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,85.71428571428571,14.285714285714285,-1.0,-0.8692491113871175,0.6582499999999927,-1.0,0.21477131477248879,0.571544999056086,-1.0,-0.6352635311790746,1.686534392555002,-1.0,0.6245331546193721,0.9208719889146832,-1.0,-0.11149071301766611,1656.114273214139,-1.0,0.7676581134191288,958.1661269687643,0.9442476388888889,0.2935,0.6738888888888889,0.9442476388888889,0.2935,0.6738888888888889,0.9442476388888889,0.2935,0.6738888888888889,0.8167275,0.3345,0.6283333333333333,0.8167275,0.3345,0.6283333333333333,0.8167275,0.3345,0.6283333333333333,0.0,0.8227808333333333,0.3295,0.6338888888888888
20.0,0.9954977488744372,0.8937422222222221,0.2375,0.736111111111111,0.8937422222222221,0.2375,0.736111111111111,0.8937422222222221,0.2375,0.736111111111111,3.321928094887362,0.7220933333333333,0.8065,0.10388888888888889,0.1205,9.54503352862591,0.8903826388888888,0.247,0.7255555555555556,0.8903826388888888,0.247,0.7255555555555556,0.8903826388888888,0.247,0.7255555555555556,10.0,200.0,2.485861365938934,-1.0,-1.0,0.69725435953817,10.0,-1.0,-1.0,1.783969683848514,-1.0,-1.0,0.34802686495807234,4.1259539520417,6.8796680497925315,-1.0,-1.0,0.5344604897233257,-1.0,-1.0,0.04048954203075,5.0,-1.0,-1.0,10.0,200.0,0.9948102777777779,0.07,0.9222222222222223,0.0,10.0,241.0,2000.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,100.0,1.6279751735710573,-1.0,-1.0,0.26666342391335,-1.0,-1.0,1.7885772678104699,-1.0,-1.0,0.35220018419418,-1.0,-1.0,1.9614414127795166,-1.0,-1.0,0.416425330283185,-1.0,-1.0,0.8865322222222223,0.293,0.6744444444444444,0.8865322222222223,0.293,0.6744444444444444,0.8865322222222223,0.293,0.6744444444444444,0.7995606944444443,0.409,0.5455555555555556,0.7995606944444443,0.409,0.5455555555555556,0.7995606944444443,0.409,0.5455555555555556,0.5303708350609642,0.9765262499999999,0.0475,0.9472222222222222
21.0,0.5993051534452808,0.9674069051181599,0.13078703703703703,0.7124332587407025,0.9674069051181599,0.13078703703703703,0.7124332587407025,0.9674069051181599,0.13078703703703703,0.7124332587407025,1.2057409700121753,0.7216223610073902,0.29976851851851855,0.0,0.004050925925925926,10.538249177645039,0.9674069051181599,0.13078703703703703,0.7124332587407025,0.9674069051181599,0.13078703703703703,0.7124332587407025,0.9674069051181599,0.13078703703703703,0.7124332587407025,70.02314814814815,1210.0,2.0,-1.0,-1.0,0.26218435655426,4.0,-1.0,-1.0,1.792481250360578,-1.0,-1.0,0.11441568230991667,14.666394799843093,3.5714285714285716,-1.0,-1.0,1.584962500721156,-1.0,-1.0,0.00448571662663,3.0,-1.0,-1.0,3.761574074074074,65.0,0.9709622827748403,0.15219907407407407,0.6467669425393134,0.0,4.0,7.0,1728.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,100.0,1.584962500721156,-1.0,-1.0,0.023627535092364996,-1.0,-1.0,1.792481250360578,-1.0,-1.0,0.085076458045545,-1.0,-1.0,2.0,-1.0,-1.0,0.2302933116434975,-1.0,-1.0,0.9639699018745697,0.15046296296296297,0.6739792986142961,0.9639699018745697,0.15046296296296297,0.6739792986142961,0.9639699018745697,0.15046296296296297,0.6739792986142961,0.884200535601469,0.17418981481481483,0.6066668683263258,0.884200535601469,0.17418981481481483,0.6066668683263258,0.884200535601469,0.17418981481481483,0.6066668683263258,0.5345224838248487,0.9859103900713602,0.10706018518518519,0.7503139820421016
